<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUUSD,5,20250321,173500,3016.8,3016.9,3013.3,3013.47,0,0
XAUUSD,5,20250321,174000,3013.5,3014.3,3013.31,3013.48,0,0
XAUUSD,5,20250321,174500,3013.68,3015.01,3013.61,3014.26,0,0
XAUUSD,5,20250321,175000,3014.2,3015.57,3014,3015.55,0,0
XAUUSD,5,20250321,175500,3015.27,3016.44,3014.28,3015.35,0,0
XAUUSD,5,20250321,180000,3015.33,3015.97,3014.77,3015.51,0,0
XAUUSD,5,20250321,180500,3015.43,3016.5,3015.4,3016.39,0,0
XAUUSD,5,20250321,181000,3016.37,3017.92,3016.19,3017.09,0,0
XAUUSD,5,20250321,181500,3017.47,3018.25,3016.7,3016.7,0,0
XAUUSD,5,20250321,182000,3016.35,3017.15,3015.26,3016.04,0,0
XAUUSD,5,20250321,182500,3016.07,3016.07,3014.96,3015.67,0,0
XAUUSD,5,20250321,183000,3015.6,3016.06,3015.39,3015.49,0,0
XAUUSD,5,20250321,183500,3015.43,3015.98,3015.07,3015.4,0,0
XAUUSD,5,20250321,184000,3015.37,3015.88,3015,3015.11,0,0
XAUUSD,5,20250321,184500,3014.96,3015.47,3013.18,3015.39,0,0
XAUUSD,5,20250321,185000,3015.38,3015.87,3013.83,3014.68,0,0
XAUUSD,5,20250321,185500,3014.59,3014.9,3013.35,3013.73,0,0
XAUUSD,5,20250321,190000,3013.71,3014.99,3013.71,3013.87,0,0
XAUUSD,5,20250321,190500,3013.93,3014.8,3013.57,3014.79,0,0
XAUUSD,5,20250321,191000,3014.8,3015.77,3014.37,3015.75,0,0
XAUUSD,5,20250321,191500,3015.72,3017.37,3015.41,3017.37,0,0
XAUUSD,5,20250321,192000,3017.13,3018.24,3016.81,3017.66,0,0
XAUUSD,5,20250321,192500,3017.42,3019.6,3017.3,3018.97,0,0
XAUUSD,5,20250321,193000,3019.13,3020.18,3019.09,3020.18,0,0
XAUUSD,5,20250321,193500,3020.16,3020.95,3020.08,3020.4,0,0
XAUUSD,5,20250321,194000,3020.66,3021.56,3020.29,3020.66,0,0
XAUUSD,5,20250321,194500,3020.69,3021.34,3019.83,3020.13,0,0
XAUUSD,5,20250321,195000,3020.15,3020.15,3017.84,3017.84,0,0
XAUUSD,5,20250321,195500,3017.87,3019.1,3017.5,3017.64,0,0
XAUUSD,5,20250321,200000,3017.55,3017.61,3016.09,3016.52,0,0
XAUUSD,5,20250321,200500,3016.53,3019.86,3016.38,3019.69,0,0
XAUUSD,5,20250321,201000,3019.79,3021.37,3019.66,3021.05,0,0
XAUUSD,5,20250321,201500,3020.98,3021.18,3019.91,3021.03,0,0
XAUUSD,5,20250321,202000,3021.12,3021.99,3020.65,3021.39,0,0
XAUUSD,5,20250321,202500,3021.42,3021.75,3020.45,3020.65,0,0
XAUUSD,5,20250321,203000,3020.63,3021.36,3020.51,3020.85,0,0
XAUUSD,5,20250321,203500,3020.83,3021.51,3020.01,3020.02,0,0
XAUUSD,5,20250321,204000,3020.07,3020.7,3019.95,3020.61,0,0
XAUUSD,5,20250321,204500,3020.74,3020.95,3020.36,3020.39,0,0
XAUUSD,5,20250321,205000,3020.62,3020.62,3019.87,3020.04,0,0
XAUUSD,5,20250321,205500,3019.97,3020.51,3019.72,3019.97,0,0
XAUUSD,5,20250321,210000,3019.98,3021.52,3019.98,3021.45,0,0
XAUUSD,5,20250321,210500,3021.37,3021.48,3020.76,3021.04,0,0
XAUUSD,5,20250321,211000,3021.09,3021.34,3020.86,3021.21,0,0
XAUUSD,5,20250321,211500,3021.2,3021.72,3021.04,3021.47,0,0
XAUUSD,5,20250321,212000,3021.47,3022.64,3021.35,3022.64,0,0
XAUUSD,5,20250321,212500,3022.62,3023.35,3022.43,3023.25,0,0
XAUUSD,5,20250321,213000,3023.27,3024.05,3023.27,3023.55,0,0
XAUUSD,5,20250321,213500,3023.56,3023.92,3022.97,3023.24,0,0
XAUUSD,5,20250321,214000,3023.31,3023.5,3023.1,3023.24,0,0
XAUUSD,5,20250321,214500,3023.17,3024.2,3022.76,3023.09,0,0
XAUUSD,5,20250321,215000,3022.9,3023.73,3022.8,3023.52,0,0
XAUUSD,5,20250321,215500,3023.17,3023.87,3022.8,3023.84,0,0
XAUUSD,5,20250321,220000,3023.85,3023.85,3023.84,3023.84,0,0
XAUUSD,5,20250324,000000,3025.68,3025.68,3024.35,3024.64,0,0
XAUUSD,5,20250324,000500,3024.55,3024.75,3023.46,3024.75,0,0
XAUUSD,5,20250324,001000,3024.86,3025.12,3024.67,3025.05,0,0
XAUUSD,5,20250324,001500,3025,3026.25,3024.97,3025.95,0,0
XAUUSD,5,20250324,002000,3025.87,3026.11,3025.54,3025.92,0,0
XAUUSD,5,20250324,002500,3025.92,3025.92,3024.89,3024.89,0,0
XAUUSD,5,20250324,003000,3024.89,3025,3024.37,3024.74,0,0
XAUUSD,5,20250324,003500,3024.74,3025.44,3024.73,3025.24,0,0
XAUUSD,5,20250324,004000,3025.23,3025.73,3024.95,3025.73,0,0
XAUUSD,5,20250324,004500,3025.73,3025.91,3025.53,3025.88,0,0
XAUUSD,5,20250324,005000,3025.85,3026.14,3025.64,3025.82,0,0
XAUUSD,5,20250324,005500,3025.75,3025.89,3024.83,3024.83,0,0
XAUUSD,5,20250324,010000,3024.88,3025.2,3023.38,3025.2,0,0
XAUUSD,5,20250324,010500,3025.27,3025.5,3025.12,3025.3,0,0
XAUUSD,5,20250324,011000,3025.36,3025.47,3023.65,3024.14,0,0
XAUUSD,5,20250324,011500,3024.17,3024.32,3023.26,3023.72,0,0
XAUUSD,5,20250324,012000,3023.72,3023.72,3022.57,3022.85,0,0
XAUUSD,5,20250324,012500,3022.65,3023.44,3022.62,3022.86,0,0
XAUUSD,5,20250324,013000,3022.88,3023.12,3022.32,3022.8,0,0
XAUUSD,5,20250324,013500,3022.86,3023.31,3022.36,3022.81,0,0
